Source: 1, Destination: 1, Cost: 2, Next hop: 4
Source: 1, Destination: 2, Cost: 6, Next hop: 4
Source: 1, Destination: 3, Cost: 9, Next hop: 4
Source: 1, Destination: 4, Cost: 1, Next hop: 4
Source: 1, Destination: 5, Cost: 2, Next hop: 4
Source: 2, Destination: 1, Cost: 6, Next hop: 5
Source: 2, Destination: 2, Cost: 6, Next hop: 3
Source: 2, Destination: 3, Cost: 3, Next hop: 3
Source: 2, Destination: 4, Cost: 5, Next hop: 5
Source: 2, Destination: 5, Cost: 4, Next hop: 5
Source: 3, Destination: 1, Cost: 9, Next hop: 2
Source: 3, Destination: 2, Cost: 3, Next hop: 2
Source: 3, Destination: 3, Cost: 6, Next hop: 2
Source: 3, Destination: 4, Cost: 8, Next hop: 2
Source: 3, Destination: 5, Cost: 7, Next hop: 2
Source: 4, Destination: 1, Cost: 1, Next hop: 1
Source: 4, Destination: 2, Cost: 5, Next hop: 5
Source: 4, Destination: 3, Cost: 8, Next hop: 5
Source: 4, Destination: 4, Cost: 2, Next hop: 1
Source: 4, Destination: 5, Cost: 1, Next hop: 5
Source: 5, Destination: 1, Cost: 2, Next hop: 4
Source: 5, Destination: 2, Cost: 4, Next hop: 2
Source: 5, Destination: 3, Cost: 7, Next hop: 2
Source: 5, Destination: 4, Cost: 1, Next hop: 4
Source: 5, Destination: 5, Cost: 2, Next hop: 4
